N ,FRDM,RMF ,Exp,This work,P_e,R_n,R_p,S_n1,S_n2 ,,
163,1981.73,,,1986.5786,270.9327,6.2642,6.2015,8.0335,16.1805,,
164,1991.49,,,1994.4984,269.3453,6.2727,6.2059,7.9198,15.9533,,
165,1999.14,,,2002.3044,267.7073,6.2811,6.2103,7.806,15.7259,,
166,2008.27,1999.23,,2009.9964,266.0268,6.2896,6.2147,7.6919,15.498,,
167,2015.86,2007.31,,2017.5738,264.3122,6.298,6.219,7.5774,15.2694,,
168,2024.76,2016.27,,2025.0363,262.5736,6.3063,6.2234,7.4625,15.0399,,
169,2032.12,2024.25,,2032.3832,260.822,6.3146,6.2277,7.3469,14.8093,,
170,2040.73,2033.04,,2039.6137,259.0699,6.3229,6.232,7.2306,14.5775,,
171,2047.84,2040.91,,2046.7273,257.3312,6.3312,6.2363,7.1135,14.3441,,
172,2056.12,2049.57,,2053.7229,255.6216,6.3395,6.2406,6.9957,14.1092,,
173,2062.97,2056.26,,2058.649,242.2283,6.3444,6.2418,4.926,11.9217,,
174,2070.99,2063.81,,2065.419,240.5866,6.3526,6.2461,6.77,11.696,,
175,2077.52,2070.33,2073.854,2072.0677,239.0284,6.3608,6.2504,6.6488,13.4187,,
176,2085.1,2077.67,2081.226,2078.5943,237.576,6.3691,6.2547,6.5266,13.1753,7.55,
177,2091.77,2084.01,2087.42,2084.9978,236.2519,6.3774,6.2591,6.4035,12.93,6.02,13.58
178,2099.12,2091.23,,2093.1728,247.0108,6.3894,6.2668,8.175,14.5785,,
179,2105.02,2097.48,,2099.3202,246.0392,6.3979,6.2713,6.1474,14.3225,,
180,2112.03,2104.51,,2105.3444,245.2511,6.4064,6.2758,6.0242,12.1717,,
181,2117.69,2110.67,,2111.2456,244.6592,6.4151,6.2805,5.9011,11.9253,,
182,2124.43,2117.48,,2117.0241,244.2755,6.4238,6.2852,5.7785,11.6797,,
183,2129.82,2123.64,,2122.6809,244.101,6.4327,6.29,5.6568,11.4353,,
184,2136.21,2129.86,,2128.2172,244.1342,6.4417,6.2949,5.5363,11.1931,,
185,2140.55,2134.21,,2133.6345,244.3658,6.4507,6.3,5.4173,10.9536,,
186,2146.61,2139.78,,2138.9348,244.7824,6.4599,6.305,5.3003,10.7176,,
187,2150.51,2144.09,,2144.1203,245.3648,6.4691,6.3102,5.1855,10.4858,,
188,2156.36,2149.63,,2149.1934,246.0917,6.4784,6.3155,5.0731,10.2586,,
189,2160.69,2153.91,,2154.1568,246.9388,6.4878,6.3208,4.9633,10.0364,,
190,2166.7,2159.42,,2159.013,247.8826,6.4973,6.3263,4.8563,9.8196,,
191,2171.21,2163.67,,2163.765,248.8989,6.5068,6.3317,4.752,9.6082,,
192,2176.95,2169.15,,2168.4154,249.9659,6.5163,6.3372,4.6504,9.4024,,
193,2181.32,2173.37,,2172.9669,251.0626,6.5258,6.3428,4.5516,9.202,,
194,2186.89,2178.82,,2177.4223,252.1714,6.5354,6.3484,4.4554,9.0069,,
195,2191.09,2182.99,,2181.784,253.2756,6.545,6.354,4.3617,8.8171,,
196,2196.56,2188.41,,2186.0545,254.3619,6.5545,6.3597,4.2705,8.6322,,
197,2204.21,2192.42,,2190.236,255.4181,6.5641,6.3653,4.1816,8.452,,
198,2209.71,2197.79,,2194.3309,256.4347,6.5736,6.371,4.0948,8.2764,,
199,2213.85,2201.37,,2198.341,257.4029,6.5831,6.3767,4.0101,8.105,,
200,2216.57,2206.42,,2202.2684,258.3166,6.5926,6.3824,3.9274,7.9375,,
201,2220.53,2209.9,,2206.1149,259.1696,6.6021,6.3881,3.8465,7.7739,,
202,2225.8,2214.73,,2209.8821,259.9582,6.6115,6.3938,3.7672,7.6136,,
203,2229.4,2218.13,,2213.5716,260.6785,6.6209,6.3995,3.6895,7.4567,,
204,2234.21,2222.86,,2217.1849,261.3281,6.6302,6.4052,3.6133,7.3028,,
205,2236.22,2226.19,,2220.7233,261.9049,6.6395,6.4109,3.5384,7.1517,,
206,2240.98,2230.86,,2224.1881,262.4078,6.6488,6.4165,3.4648,7.0032,,
207,2244.42,2234.11,,2227.5805,262.8357,6.6581,6.4222,3.3924,6.8572,,
208,2248.99,2238.74,,2230.9015,263.1884,6.6672,6.4278,3.321,6.7134,,
209,2253.22,2241.9,,2234.1521,263.4657,6.6764,6.4334,3.2506,6.5716,,
210,2257.52,2246.51,,2237.3333,263.668,6.6855,6.439,3.1812,6.4318,,
211,2260.81,2249.57,,2240.4458,263.7957,6.6946,6.4446,3.1125,6.2937,,
212,2265.25,2254.17,,2243.4905,263.8499,6.7036,6.4502,3.0447,6.1572,,
213,2269.42,2257.13,,2246.468,263.8312,6.7125,6.4557,2.9775,6.0222,,
214,2273.62,2261.72,,2249.379,263.7411,6.7215,6.4613,2.911,5.8885,,
215,2276.38,2264.62,,2252.2239,263.5807,6.7303,6.4668,2.845,5.7559,,
216,2280.38,2269.18,,2255.0034,263.3519,6.7392,6.4722,2.7795,5.6244,,
217,2282.93,2272.06,,2257.7178,263.0558,6.7479,6.4777,2.7144,5.4939,,
218,2287.1,2276.53,,2260.3676,262.6947,6.7567,6.4831,2.6498,5.3642,,
219,2290.01,2279.39,,2262.953,262.2702,6.7654,6.4885,2.5854,5.2352,,
220,2294.2,2283.79,,2265.4744,261.7846,6.774,6.4939,2.5214,5.1068,,
221,2296.95,2286.62,,2267.9319,261.2398,6.7826,6.4993,2.4575,4.9789,,
222,,2290.96,,2270.3257,260.6383,6.7912,6.5046,2.3938,4.8513,,
223,,2293.73,,2272.656,259.9824,6.7997,6.5099,2.3303,4.7241,,
224,,2298.02,,2274.9228,259.2748,6.8081,6.5151,2.2668,4.5971,,
225,,2300.72,,2277.1261,258.518,6.8166,6.5203,2.2033,4.4701,,
226,,2304.97,,2279.266,257.7151,6.8249,6.5255,2.1399,4.3432,,
227,,2307.64,,2281.3423,256.8687,6.8333,6.5307,2.0763,4.2162,,
228,,2311.78,,2283.355,255.9823,6.8416,6.5358,2.0127,4.089,,
229,,2314.52,,2285.304,255.0588,6.8498,6.5409,1.9489,3.9616,,
230,,2318.39,,2287.1889,254.102,6.858,6.5459,1.885,3.8339,,
231,,2321.14,,2289.0097,253.1152,6.8661,6.551,1.8208,3.7058,,
232,,2324.83,,2290.7661,252.1024,6.8743,6.5559,1.7564,3.5772,,
233,,2327.56,,2292.4578,251.0675,6.8823,6.5609,1.6917,3.4481,,
234,,2331.15,,2294.0846,250.0145,6.8903,6.5657,1.6267,3.3184,,
235,,2333.84,,2295.646,248.9479,6.8983,6.5706,1.5614,3.1881,,
236,,2337.37,,2297.1417,247.872,6.9063,6.5754,1.4957,3.0571,,
237,,2339.98,,2298.5714,246.7914,6.9142,6.5802,1.4297,2.9254,,
238,,2343.43,,2299.9347,245.7118,6.922,6.5849,1.3633,2.793,,
239,,2345.77,,2301.2312,244.6369,6.9299,6.5896,1.2965,2.6598,,
240,,2348.89,,2302.4605,243.5737,6.9376,6.5943,1.2293,2.5258,,
241,,2351.14,,2303.6223,242.5257,6.9454,6.5989,1.1618,2.3911,,
242,,2354.13,,2304.7161,241.5005,6.9531,6.6035,1.0938,2.2556,,
243,,2356.31,,2305.7416,240.5019,6.9608,6.608,1.0255,2.1194,,
244,,2359.25,,2306.6985,239.5377,6.9685,6.6126,0.9569,1.9825,,
245,,2361.36,,2307.5865,238.6116,6.9761,6.6171,0.888,1.8449,,
246,,2364.27,,2308.4053,237.7317,6.9837,6.6215,0.8188,1.7068,,
247,,2366.38,,2309.1547,236.9016,6.9913,6.626,0.7494,1.5682,,
248,,2369.2,,2309.8346,236.1288,6.9989,6.6304,0.6798,1.4292,,
249,,2371.3,,2310.4447,235.4169,7.0065,6.6349,0.6102,1.29,,
250,,2374.03,,2310.9852,234.7714,7.014,6.6393,0.5405,1.1506,,
251,,2376.06,,2311.456,234.1962,7.0216,6.6437,0.4708,1.0113,,
252,,2378.7,,2311.8573,233.695,7.0291,6.6481,0.4013,0.8721,,
253,,2380.68,,2312.1893,233.2702,7.0367,6.6526,0.332,0.7333,,
254,,2383.04,,2312.4523,232.9237,7.0443,6.657,0.263,0.595,,
255,,2384.91,,2312.6468,232.656,7.0518,6.6615,0.1945,0.4575,,
256,,2387.12,,2312.7732,232.4666,7.0594,6.666,0.1264,0.3209,,
257,,2389.01,,2312.8321,232.354,7.0669,6.6705,0.059,0.1854,,
258,,2391.01,,2312.8243,232.3156,7.0745,6.675,-0.0078,0.0512,,
259,,2390.79,,2312.7505,232.3473,7.0821,6.6796,-0.0738,-0.0816,,
