N ,FRDM,RMF ,Exp,This work,P_e,R_n,R_p,S_n1,S_n2 ,,
260,,2391.54,,2312.6117,232.445,7.0897,6.6842,-0.1389,-0.2127,,
261,,2391.38,,2312.4086,232.6028,7.0973,6.6888,-0.2031,-0.342,,
262,,2392.17,,2312.1422,232.8146,7.1049,6.6934,-0.2663,-0.4694,,
263,,2392.06,,2311.8137,233.0737,7.1126,6.6981,-0.3285,-0.5948,,
264,,2392.91,,2311.4241,233.3739,7.1202,6.7028,-0.3896,-0.7182,,
265,,2392.85,,2310.9744,233.7075,7.1278,6.7075,-0.4497,-0.8393,,
266,,2393.74,,2310.4657,234.0681,7.1354,6.7123,-0.5087,-0.9584,,
267,,2393.73,,2309.8992,234.4485,7.1431,6.7171,-0.5665,-1.0752,,
268,,2394.68,,2309.2759,234.8426,7.1507,6.7219,-0.6233,-1.1898,,
269,,2394.71,,2308.597,235.2438,7.1583,6.7267,-0.6789,-1.3022,,
270,,2395.71,,2307.8634,235.6468,7.1659,6.7316,-0.7336,-1.4125,,
271,,2395.77,,2307.0763,236.0459,7.1735,6.7364,-0.7871,-1.5207,,
272,,2396.82,,2306.2366,236.4365,7.1811,6.7413,-0.8397,-1.6268,,
273,,2396.86,,2305.3454,236.8138,7.1886,6.7462,-0.8913,-1.7309,,
274,,2397.96,,2304.4035,237.1742,7.1962,6.7511,-0.9419,-1.8331,,
275,,2398.01,,2303.4119,237.5138,7.2037,6.756,-0.9916,-1.9335,,
276,,2398.97,,2302.3715,237.8297,7.2112,6.7609,-1.0404,-2.032,,
277,,2399.02,,2301.2831,238.1188,7.2187,6.7658,-1.0884,-2.1288,,
278,,2399.85,,2300.1476,238.3789,7.2261,6.7707,-1.1355,-2.2239,,
279,,2399.9,,2298.9657,238.6076,7.2335,6.7756,-1.1819,-2.3175,,
280,,2400.69,,2297.7381,238.803,7.2409,6.7805,-1.2276,-2.4095,,
281,,2400.74,,2296.4656,238.9635,7.2483,6.7854,-1.2725,-2.5001,,
282,,2401.51,,2295.1489,239.0876,7.2556,6.7903,-1.3167,-2.5892,,
283,,2401.55,,2293.7886,239.1739,7.2629,6.7952,-1.3603,-2.6771,,
284,,2402.31,,2292.3852,239.2214,7.2702,6.8,-1.4033,-2.7637,,
285,,2402.35,,2290.9395,239.2289,7.2774,6.8049,-1.4457,-2.849,,
286,,2403.09,,2289.452,239.1956,7.2846,6.8097,-1.4875,-2.9333,,
287,,2403.11,,2287.9232,239.1207,7.2918,6.8145,-1.5288,-3.0164,,
288,,2403.84,,2286.3536,239.0034,7.2989,6.8193,-1.5696,-3.0984,,
289,,2403.3,,2284.7437,238.8429,7.306,6.824,-1.6099,-3.1795,,
290,,2403.33,,2283.094,238.6389,7.313,6.8288,-1.6497,-3.2596,,
