N ,FRDM,relativistic continuum Hartree-Bogoliubov theory ,exp_energy,calculated_enery,P_e,R_n,R_p,S_n1,S_n2155,1916.58,None,None,1925.767348,-260.939817,6.206504,6.156925,8.236448999999993,16.60370899999998
156,1926.23,None,None,1933.878206,-260.677806,6.214333,6.160115,8.110858000000007,16.347307
157,1934.24,1919.91,None,1941.860606,-259.872191,6.222684,6.164109,7.9823999999998705,16.093257999999878
158,1943.67,1929.57,None,1949.717137,-259.181932,6.230786,6.167832,7.856531000000132,15.838931000000002
159,1951.52,1937.25,None,1957.449324,-258.545313,6.238684,6.171347,7.73218699999984,15.588717999999972
160,1960.74,1946.83,None,1965.058785,-257.96184,6.246374,6.174649,7.60946100000001,15.34164799999985
161,1968.37,1954.36,None,1972.547286,-257.427435,6.253856,6.177737,7.488501000000042,15.097962000000052
162,1977.3,1963.85,None,1979.916749,-256.93799,6.261125,6.180606,7.369462999999996,14.857964000000038
163,1984.59,1971.11,None,1987.169245,-256.486877,6.268175,6.183249,7.252496000000065,14.62195900000006
164,1993.83,1980.5,None,1994.306998,-256.066681,6.275005,6.185666,7.137752999999975,14.39024900000004
165,2000.77,1987.94,None,2001.332378,-255.668505,6.281614,6.187855,7.025380000000041,14.163133000000016
166,2009.21,1996.4,None,2008.247894,-255.281893,6.287998,6.189815,6.915516000000025,13.940896000000066
167,2015.85,2003.69,None,2015.05619,-254.895942,6.294157,6.191544,6.8082959999999275,13.723811999999953
168,2023.88,2011.87,None,2021.760046,-254.496955,6.300093,6.193049,6.703856000000087,13.512152000000015
169,2030.13,2019.05,None,2028.36236,-254.066343,6.305818,6.194344,6.6023139999999785,13.306170000000066
170,2037.98,2027.07,2034.292,2034.866058,-253.577759,6.311359,6.195464,6.503697999999986,13.106011999999964
171,2044.36,2034.13,2040.315,2041.27376,-252.986443,6.316806,6.196516,6.407701999999972,12.911399999999958
172,2051.93,2042.01,2047.474,2047.586779,-252.222716,6.322401,6.197777,6.31301899999994,12.720720999999912
