N ,FRDM,relativistic continuum Hartree–Bogoliubov theory ,exp,
163,1981.73,,,
164,1991.49,,,
165,1999.14,,,
166,2008.27,1999.23,,
167,2015.86,2007.31,,
168,2024.76,2016.27,,
169,2032.12,2024.25,,
170,2040.73,2033.04,,
171,2047.84,2040.91,,
172,2056.12,2049.57,,
173,2062.97,2056.26,,
174,2070.99,2063.81,,
175,2077.52,2070.33,2073.854,7078
176,2085.1,2077.67,2081.226,7079
177,2091.77,2084.01,2087.42,7076
178,2099.12,2091.23,,
179,2105.02,2097.48,,
180,2112.03,2104.51,,
181,2117.69,2110.67,,
182,2124.43,2117.48,,
183,2129.82,2123.64,,
184,2136.21,2129.86,,
185,2140.55,2134.21,,
186,2146.61,2139.78,,
187,2150.51,2144.09,,
188,2156.36,2149.63,,
189,2160.69,2153.91,,
190,2166.7,2159.42,,
191,2171.21,2163.67,,
192,2176.95,2169.15,,
193,2181.32,2173.37,,
194,2186.89,2178.82,,
195,2191.09,2182.99,,
196,2196.56,2188.41,,
197,2204.21,2192.42,,
198,2209.71,2197.79,,
199,2213.85,2201.37,,
200,2216.57,2206.42,,
201,2220.53,2209.9,,
202,2225.8,2214.73,,
203,2229.4,2218.13,,
204,2234.21,2222.86,,
205,2236.22,2226.19,,
206,2240.98,2230.86,,
207,2244.42,2234.11,,
208,2248.99,2238.74,,
209,2253.22,2241.9,,
210,2257.52,2246.51,,
211,2260.81,2249.57,,
212,2265.25,2254.17,,
213,2269.42,2257.13,,
214,2273.62,2261.72,,
215,2276.38,2264.62,,
216,2280.38,2269.18,,
217,2282.93,2272.06,,
218,2287.1,2276.53,,
219,2290.01,2279.39,,
220,2294.2,2283.79,,
221,2296.95,2286.62,,
222,,2290.96,,
223,,2293.73,,
224,,2298.02,,
225,,2300.72,,
226,,2304.97,,
227,,2307.64,,
228,,2311.78,,
229,,2314.52,,
230,,2318.39,,
231,,2321.14,,
232,,2324.83,,
233,,2327.56,,
234,,2331.15,,
235,,2333.84,,
236,,2337.37,,
237,,2339.98,,
238,,2343.43,,
239,,2345.77,,
240,,2348.89,,
241,,2351.14,,
242,,2354.13,,
243,,2356.31,,
244,,2359.25,,
245,,2361.36,,
246,,2364.27,,
247,,2366.38,,
248,,2369.2,,
249,,2371.3,,
250,,2374.03,,
251,,2376.06,,
252,,2378.7,,
253,,2380.68,,
254,,2383.04,,
255,,2384.91,,
256,,2387.12,,
257,,2389.01,,
258,,2391.01,,
259,,2390.79,,
260,,2391.54,,
261,,2391.38,,
262,,2392.17,,
263,,2392.06,,
264,,2392.91,,
265,,2392.85,,
266,,2393.74,,
267,,2393.73,,
268,,2394.68,,
269,,2394.71,,
270,,2395.71,,
271,,2395.77,,
272,,2396.82,,
273,,2396.86,,
274,,2397.96,,
275,,2398.01,,
276,,2398.97,,
277,,2399.02,,
278,,2399.85,,
279,,2399.9,,
280,,2400.69,,
281,,2400.74,,
282,,2401.51,,
283,,2401.55,,
284,,2402.31,,
285,,2402.35,,
286,,2403.09,,
287,,2403.11,,
288,,2403.84,,
289,,2403.3,,
290,,2403.33,,
291,,,,
292,,,,
293,,,,
294,,,,
295,,,,
296,,,,
297,,,,
298,,,,
299,,,,
300,,,,
301,,,,
302,,,,
303,,,,
304,,,,
305,,,,
306,,,,
307,,,,
308,,,,
309,,,,
310,,,,
311,,,,
312,,,,
313,,,,
314,,,,
315,,,,
316,,,,
317,,,,
318,,,,
319,,,,
320,,,,
321,,,,
322,,,,
323,,,,
324,,,,
325,,,,
326,,,,
327,,,,
328,,,,
329,,,,
330,,,,
331,,,,
332,,,,
333,,,,
334,,,,
335,,,,
336,,,,
337,,,,
338,,,,
339,,,,
340,,,,
341,,,,
342,,,,
343,,,,
344,,,,
345,,,,
346,,,,
347,,,,
348,,,,
349,,,,
350,,,,
351,,,,
352,,,,
353,,,,
354,,,,
355,,,,
356,,,,
357,,,,
358,,,,
359,,,,
360,,,,
361,,,,
362,,,,
363,,,,
364,,,,
365,,,,
366,,,,
367,,,,
368,,,,
369,,,,
370,,,,
371,,,,
372,,,,
373,,,,
374,,,,
375,,,,
376,,,,
377,,,,
378,,,,
379,,,,
380,,,,
381,,,,
382,,,,
383,,,,
384,,,,
385,,,,
386,,,,
387,,,,
388,,,,
389,,,,
390,,,,
391,,,,
392,,,,
393,,,,
394,,,,
395,,,,
396,,,,
397,,,,
398,,,,
399,,,,
400,,,,
401,,,,
402,,,,
403,,,,
404,,,,
405,,,,
406,,,,
407,,,,
408,,,,
409,,,,
410,,,,
411,,,,
412,,,,
413,,,,
414,,,,
415,,,,
416,,,,
417,,,,
418,,,,
419,,,,
420,,,,
421,,,,
422,,,,
423,,,,
424,,,,
425,,,,
426,,,,
427,,,,
428,,,,
429,,,,
430,,,,
431,,,,
432,,,,
433,,,,
434,,,,
435,,,,
436,,,,
437,,,,
438,,,,
439,,,,
440,,,,
441,,,,
442,,,,
443,,,,
444,,,,
445,,,,
446,,,,
447,,,,
448,,,,
449,,,,
450,,,,
451,,,,
452,,,,
453,,,,
454,,,,
455,,,,
456,,,,
457,,,,
458,,,,
459,,,,
460,,,,
461,,,,
462,,,,
463,,,,
464,,,,
465,,,,
466,,,,
467,,,,
468,,,,
469,,,,
470,,,,
471,,,,
472,,,,
473,,,,
474,,,,
475,,,,
476,,,,
