N ,FRDM,RMF ,Exp,This work,P_e,R_n,R_p,S_n1,S_n2 ,,
228,2293.95,,,2264.2526,255.7618,6.8361,6.5172,1.7469,3.5561,,
229,2296.46,,,2265.9371,254.8443,6.8443,6.5224,1.6845,3.4315,,
230,2300.13,,,2267.5591,253.8917,6.8526,6.5275,1.622,3.3065,,
231,2302.65,,,2269.1183,252.9075,6.8608,6.5325,1.5592,3.1812,,
232,2306.16,,,2270.6145,251.8955,6.8689,6.5375,1.4962,3.0554,,
233,2308.66,,,2272.0474,250.8596,6.877,6.5425,1.4329,2.9291,,
234,2312.07,,,2273.4166,249.8037,6.8851,6.5474,1.3693,2.8022,,
235,2314.54,,,2274.722,248.7322,6.8931,6.5523,1.3053,2.6746,,
236,2317.88,,,2275.963,247.6496,6.9011,6.5571,1.241,2.5463,,
237,2320.24,,,2277.1393,246.5603,6.909,6.5619,1.1763,2.4174,,
238,2323.52,,,2278.2506,245.4698,6.9169,6.5667,1.1113,2.2876,,
239,2325.69,,,2279.2964,244.3823,6.9247,6.5714,1.0458,2.1571,,
240,2328.67,,,2280.2763,243.3042,6.9326,6.5761,0.9799,2.0257,,
241,2330.77,,,2281.1899,242.2395,6.9403,6.5807,0.9136,1.8935,,
242,2333.61,,,2282.0369,241.1956,6.9481,6.5853,0.8469,1.7606,,
243,2335.64,,,2282.8167,240.1764,6.9558,6.5899,0.7799,1.6268,,
244,2338.42,,,2283.5292,239.1898,6.9635,6.5945,0.7124,1.4923,,
245,2340.38,,,2284.1739,238.2398,6.9712,6.599,0.6447,1.3571,,
246,2343.13,,,2284.7505,237.3343,6.9788,6.6035,0.5766,1.2213,,
247,2345.08,,,2285.2587,236.4774,6.9864,6.6079,0.5083,1.0849,,
248,2347.75,,,2285.6984,235.6768,6.994,6.6124,0.4397,0.948,,
249,2349.69,,,2286.0694,234.9363,7.0016,6.6168,0.371,0.8107,,
250,2352.26,,,2286.3717,234.2619,7.0092,6.6213,0.3023,0.6733,,
251,2354.13,,,2286.6052,233.6577,7.0168,6.6257,0.2335,0.5357,,
252,2356.63,,,2286.77,233.1279,7.0243,6.6301,0.1648,0.3983,,
253,2358.48,,,2286.8662,232.6753,7.0319,6.6345,0.0963,0.2611,,
254,2360.76,,,2286.8942,232.3023,7.0395,6.639,0.028,0.1243,,
255,2362.53,,,2286.8544,232.0096,7.047,6.6435,-0.0399,-0.0119,,
256,2364.66,,,2286.7471,231.7974,7.0546,6.6479,-0.1073,-0.1472,,
257,2366.47,,,2286.5729,231.6642,7.0622,6.6525,-0.1741,-0.2814,,
258,2368.38,,,2286.3326,231.6078,7.0698,6.657,-0.2403,-0.4145,,
259,2367.95,,,2286.0268,231.6245,7.0774,6.6616,-0.3058,-0.5461,,
260,2368.5,,,2285.6564,231.71,7.0851,6.6661,-0.3704,-0.6762,,
261,2368.12,,,2285.2222,231.8586,7.0927,6.6708,-0.4341,-0.8046,,
262,2368.72,,,2284.7253,232.0646,7.1003,6.6754,-0.4969,-0.931,,
263,2368.4,,,2284.1667,232.3209,7.108,6.6801,-0.5586,-1.0555,,
264,2369.05,,,2283.5474,232.621,7.1156,6.6848,-0.6193,-1.178,,
265,2368.78,,,2282.8685,232.9574,7.1233,6.6896,-0.6789,-1.2982,,
266,2369.48,,,2282.131,233.3234,7.1309,6.6943,-0.7374,-1.4164,,
267,2369.26,,,2281.3362,233.7116,7.1386,6.6991,-0.7948,-1.5323,,
268,2370.01,,,2280.4851,234.1157,7.1462,6.704,-0.8511,-1.646,,
269,2369.83,,,2279.5787,234.5289,7.1539,6.7088,-0.9063,-1.7575,,
270,2370.64,,,2278.6183,234.9458,7.1615,6.7137,-0.9605,-1.8668,,
271,2370.49,,,2277.6047,235.3604,7.1691,6.7186,-1.0135,-1.974,,
272,2371.35,,,2276.5392,235.7679,7.1767,6.7234,-1.0656,-2.0791,,
273,2371.18,,,2275.4225,236.1638,7.1843,6.7284,-1.1166,-2.1822,,
274,2372.09,,,2274.2558,236.5437,7.1919,6.7333,-1.1667,-2.2833,,
275,2371.97,,,2273.04,236.904,7.1994,6.7382,-1.2159,-2.3826,,
276,2372.75,,,2271.7759,237.2414,7.207,6.7431,-1.2641,-2.48,,
277,2372.63,,,2270.4644,237.5528,7.2145,6.748,-1.3115,-2.5756,,
278,2373.31,,,2269.1063,237.8358,7.2219,6.753,-1.3581,-2.6696,,
279,2373.18,,,2267.7025,238.088,7.2294,6.7579,-1.4038,-2.7619,,
280,2373.82,,,2266.2537,238.3073,7.2368,6.7628,-1.4488,-2.8527,,
281,2373.7,,,2264.7605,238.4919,7.2442,6.7677,-1.4931,-2.9419,,
282,2374.32,,,2263.2239,238.6403,7.2516,6.7726,-1.5367,-3.0298,,
283,2374.18,,,2261.6442,238.7511,7.2589,6.7775,-1.5796,-3.1163,,
284,2374.79,,,2260.0223,238.8229,7.2662,6.7824,-1.6219,-3.2015,,
285,2374.64,,,2258.3588,238.8548,7.2734,6.7873,-1.6636,-3.2855,,
286,2375.24,,,2256.6541,238.8456,7.2807,6.7921,-1.7047,-3.3683,,
287,2375.07,,,2254.9089,238.7945,7.2878,6.7969,-1.7452,-3.4499,,
288,2375.64,,,2253.1236,238.7006,7.295,6.8017,-1.7852,-3.5305,,
289,2374.91,,,2251.2989,238.5631,7.3021,6.8065,-1.8248,-3.61,,
290,2374.96,,,2249.4351,238.3814,7.3092,6.8113,-1.8638,-3.6885,,
