N ,FRDM,RMF ,Exp,This work,P_e,R_n,R_p,S_n1,S_n2 ,S_n1e,
222,2265.16,2256.75,,2233.7809,260.2278,6.78,6.4669,1.8458,3.7526,,
223,2267.59,2259.01,,2235.5659,259.6017,6.7886,6.4723,1.7851,3.6309,,
224,2271.24,2262.86,,2237.2903,258.9211,6.7971,6.4776,1.7244,3.5094,,
225,2273.53,2265.05,,2238.954,258.1884,6.8056,6.4829,1.6637,3.3881,,
226,,2268.88,,2240.5571,257.4063,6.8141,6.4882,1.6031,3.2668,,
227,,2271.09,,2242.0994,256.5778,6.8225,6.4935,1.5423,3.1454,,
228,,2274.78,,2243.5809,255.7057,6.8308,6.4987,1.4815,3.0239,,
229,,2277.06,,2245.0015,254.7931,6.8392,6.5038,1.4206,2.9021,,
230,,2280.54,,2246.361,253.8435,6.8474,6.509,1.3594,2.78,,
231,,2282.84,,2247.6591,252.8601,6.8557,6.514,1.2981,2.6576,,
232,,2286.17,,2248.8956,251.8467,6.8638,6.5191,1.2365,2.5346,,
233,,2288.46,,2250.0702,250.8072,6.872,6.5241,1.1746,2.4112,,
234,,2291.69,,2251.1827,249.7453,6.8801,6.529,1.1124,2.2871,,
235,,2293.94,,2252.2326,248.6655,6.8881,6.5339,1.0499,2.1624,,
236,,2297.1,,2253.2196,247.572,6.8961,6.5388,0.987,2.0369,,
237,,2299.24,,2254.1434,246.4693,6.9041,6.5436,0.9237,1.9108,,
238,,2302.34,,2255.0034,245.363,6.912,6.5484,0.86,1.7838,,
239,,2304.34,,2255.7993,244.257,6.9199,6.5532,0.7959,1.656,,
240,,2307.19,,2256.5308,243.1578,6.9277,6.5579,0.7314,1.5273,,
241,,2309.12,,2257.1972,242.0698,6.9355,6.5625,0.6664,1.3979,,
242,,2311.81,,2257.7983,240.9996,6.9433,6.5672,0.6011,1.2675,,
243,,2313.68,,2258.3335,239.9523,6.951,6.5718,0.5353,1.1363,,
244,,2316.32,,2258.8026,238.9348,6.9588,6.5763,0.4691,1.0043,,
245,,2318.11,,2259.205,237.9523,6.9664,6.5808,0.4025,0.8715,,
246,,2320.73,,2259.5406,237.0119,6.9741,6.5853,0.3355,0.738,,
247,,2322.52,,2259.8089,236.1189,6.9817,6.5898,0.2683,0.6039,,
248,,2325.04,,2260.0097,235.2803,6.9893,6.5943,0.2008,0.4691,,
249,,2326.82,,2260.1429,234.5011,6.997,6.5987,0.1331,0.334,,
250,,2329.24,,2260.2082,233.7878,7.0045,6.6031,0.0653,0.1985,,
251,,2330.96,,2260.2056,233.1442,7.0121,6.6076,-0.0026,0.0628,,
252,,2333.33,,2260.1353,232.5754,7.0197,6.612,-0.0704,-0.073,,
253,,2335.05,,2259.9971,232.0847,7.0273,6.6164,-0.1381,-0.2085,,
254,,2337.24,,2259.7915,231.6749,7.0349,6.6209,-0.2057,-0.3438,,
255,,2338.92,,2259.5186,231.3473,7.0425,6.6253,-0.2729,-0.4785,,
256,,2340.97,,2259.1789,231.1026,7.0501,6.6298,-0.3397,-0.6125,,
257,,2342.69,,2258.773,230.9397,7.0577,6.6343,-0.4059,-0.7456,,
258,,2344.51,,2258.3014,230.8568,7.0653,6.6389,-0.4716,-0.8775,,
259,,2343.87,,2257.7649,230.8504,7.0729,6.6434,-0.5365,-1.0081,,
260,,2344.22,,2257.1642,230.9163,7.0806,6.648,-0.6007,-1.1372,,
