N ,FRDM,RMF ,Exp,This work,P_e,R_n,R_p,S_n1,S_n2 
280,None,2400.69,None,2297.738131,238.803031,7.240911,6.780525,-1.2275599999998121,-2.4094780000000355
281,None,2400.74,None,2296.465639,238.963515,7.248273,6.785415,-1.2724920000000566,-2.5000519999998687
282,None,2401.51,None,2295.148901,239.087586,7.255604,6.790295,-1.3167379999999866,-2.589230000000043
283,None,2401.55,None,2293.788559,239.173903,7.262903,6.795164,-1.360341999999946,-2.6770799999999326
284,None,2402.31,None,2292.385238,239.221359,7.270169,6.800019,-1.4033210000002327,-2.7636630000001787
285,None,2402.35,None,2290.939525,239.228892,7.277402,6.804858,-1.4457130000000689,-2.8490340000003016
286,None,2403.09,None,2289.451988,239.195632,7.284599,6.809681,-1.4875369999999748,-2.9332500000000437
287,None,2403.11,None,2287.923163,239.120712,7.291762,6.814484,-1.5288249999998698,-3.0163619999998446
288,None,2403.84,None,2286.353567,239.003417,7.298888,6.819266,-1.5695959999998195,-3.0984209999996892
289,None,2403.3,None,2284.743689,238.842864,7.305977,6.824026,-1.609878000000208,-3.1794740000000274
290,None,2403.33,None,2283.093999,238.638856,7.313029,6.828762,-1.6496899999997368,-3.2595679999999447
